ticker,ksic
003010,465
003020,13922
003030,64992
003040,21212
003050,28302
003060,212
003070,41221
003080,2032
003090,212
0030R0,642
003100,52942
003120,212
003160,27212
003190,21100
003200,13101
003220,212
003230,108
003240,20501
003280,50112
003300,23311
003310,109
003330,66121
003350,20423
003380,64992
003410,23311
003450,66121
003460,66121
003470,66121
003480,352
003490,511
003520,212
003530,66121
003540,66121
003550,64992
003560,591
003570,30331
003580,471
003590,14111
003600,64992
003610,132
003620,301
003640,24122
003650,19221
003660,23311
003670,282
003680,10211
003690,65200
003720,2221
003780,2225
0037T0,66199
003800,32029
003830,20501
003850,212
003900,10421
003920,104
003930,14111
003940,108
003960,10211
003990,46800
0039P0,713
004000,20119
004010,47111
004020,2411
004060,46800
004080,4659
004090,23999
004100,303
004130,2622
004140,529
004150,64992
004170,47111
004190,2629
0041B0,66199
0041J0,661
0041L0,66199
004200,41221
004230,25931
004250,22232
004270,46799
004310,212
004320,41221
004360,49301
004370,108
004380,29141
004410,108
004430,20499
004440,23325
004450,25991
004490,28202
0044K0,66199
004510,29162
004530,1090
004540,171
004550,45110
004560,24122
004590,478
004620,14111
004650,11121
004660,10520
004690,35200
004700,15110
004710,26299
004720,212
004740,32029
004770,262
004780,25991
004790,26
004800,649
004820,467
004830,22214
004840,221
004870,23325
004890,24113
004910,20411
004920,26529
004940,64121
004960,41112
004970,03111
004980,23311
004990,64992
005010,2413
005030,30310
005070,204
005090,351
005110,465
005160,24122
005180,104
005190,201
005250,715
005270,64121
005280,64121
005290,20129
005300,11209
005320,46413
005330,30
005350,29230
005360,46452
005380,30121
005390,467
005420,2049
005430,52939
005440,64992
005450,41121
005490,2411
0054V0,6619
005500,212
005560,28302
005600,17105
005610,108
005620,715
005670,1030
005680,26291
005690,262
005710,303
005720,221
005740,64992
005750,23222
005760,1419
005800,14120
005810,64992
005820,13225
005830,65121
005850,303
005860,109
005870,2642
005880,50112
005890,66121
005900,41221
005930,264
005940,66121
005950,20111
005960,412
005980,41221
005990,104
006040,64992
006050,231
006060,46800
